path,notes_list
../dataset/liszt/liz_donjuan.mid,"[76, 71, 65, 69, 68, 68, 76, 71, 78, 78, 53, 86, 87, 77, 54, 58, 71, 82, 70, 69, 88, 67, 88, 59, 55, 84, 98, 64, 80, 65, 68, 70, 65, 75, 52, 74, 80, 72, 65, 69, 66, 80, 57, 75, 83, 69, 71, 71, 86, 72, 65, 72, 76, 76, 66, 73, 71, 72, 56, 80, 71, 57, 74, 86, 69, 63, 85, 68, 68, 82, 68, 65, 68, 78, 80, 70, 84]"
../dataset/liszt/liz_rhap15.mid,"[78, 55, 64, 65, 72, 61, 87, 52, 76, 81, 53, 50, 70, 64, 52, 76, 83, 77, 52, 54, 71, 64, 96, 84, 78, 86, 74, 79, 71, 76, 81, 68, 80]"
../dataset/liszt/liz_liebestraum.mid,"[76, 84, 61, 60, 77, 77, 68, 63, 73, 67, 74, 74, 64, 63, 74, 68, 72, 68, 56, 63, 67, 84, 65, 61, 73]"
../dataset/mendelssohn/mendel_op19_5.mid,"[61, 71, 65, 66, 78, 73, 70, 67, 70, 66, 67, 70, 58, 68, 63]"
../dataset/mendelssohn/mendel_op30_3.mid,"[67, 66, 64, 61, 64, 68, 61, 66, 66]"
../dataset/mendelssohn/mendel_op30_4.mid,"[70, 68, 64, 73, 68, 66, 69, 72, 65, 70, 72]"
../dataset/mendelssohn/mendel_op53_5.mid,"[70, 64, 65, 67, 64, 67, 72, 65, 59, 73, 58, 68, 65, 64]"
../dataset/mendelssohn/mendel_op19_3.mid,"[78, 75, 66, 64, 59, 75, 75, 64, 67, 57, 79, 80, 64, 76, 80]"
../dataset/mendelssohn/mendel_op62_5.mid,"[69, 72, 67, 61, 52, 72, 76, 61, 67, 74]"
../dataset/mendelssohn/mendel_op19_2.mid,"[76, 71, 69, 67, 57, 72, 57, 68, 73, 78, 57, 72, 76, 72]"
../dataset/mendelssohn/mendel_op19_4.mid,"[70, 62, 59, 73, 71, 73, 74, 66, 64, 68, 65]"
../dataset/mendelssohn/mendel_op30_2.mid,"[69, 70, 65, 72, 65, 68, 64, 68, 59, 70, 65, 65]"
../dataset/mendelssohn/mendel_op30_5.mid,"[66, 68, 70, 74, 73, 62, 77, 71, 65]"
../dataset/mendelssohn/mendel_op62_3.mid,"[68, 68, 59, 63, 65, 70, 66, 76]"
../dataset/mendelssohn/mendel_op19_6.mid,"[68, 70, 70, 61, 62, 69, 62, 64, 74, 69, 74, 64, 61, 71, 74, 70]"
../dataset/mendelssohn/mendel_op30_1.mid,"[58, 63, 67, 65, 58, 66, 67, 60, 64, 55, 55, 89]"
../dataset/mendelssohn/mendel_op19_1.mid,"[69, 71, 67, 71, 67, 71, 71, 75]"
../dataset/mendelssohn/mendel_op62_4.mid,"[69, 59, 68, 59, 72]"
../dataset/beeth/waldstein_2.mid,"[68, 58, 57, 60, 76, 70, 70, 70, 57, 65, 62]"
../dataset/beeth/beethoven_les_adieux_1.mid,"[74, 74, 74, 68, 61, 75, 70, 81, 63, 58, 73, 63, 55, 53, 82, 78, 58, 83, 80, 68]"
../dataset/beeth/beethoven_opus22_3.mid,"[62, 71, 81, 65, 75, 72, 62, 71, 72, 73, 74, 57, 77, 71, 68]"
../dataset/beeth/beethoven_hammerklavier_4.mid,"[73, 75, 71, 77, 78, 74, 82, 70, 58, 63, 69, 69, 93, 73, 82, 66, 62, 70, 72, 83, 77, 72, 72]"
../dataset/beeth/beethoven_opus22_4.mid,"[72, 71, 63, 75, 55, 63, 60, 69, 74, 78, 72, 70, 58, 63, 73, 64, 77, 57, 63, 81, 65, 72, 67, 74]"
../dataset/beeth/appass_2.mid,"[69, 83, 49, 68, 61, 68, 55, 51, 80, 57]"
../dataset/beeth/pathetique_2.mid,"[68, 67, 68, 55, 64, 77, 69, 60, 69, 56]"
../dataset/beeth/beethoven_opus90_2.mid,"[74, 78, 73, 75, 72, 69, 72, 78, 68, 75, 85, 75, 72]"
../dataset/beeth/appass_1.mid,"[72, 63, 71, 68, 73, 65, 73, 62, 60, 58, 56, 61, 70, 62, 70, 74, 74, 48, 53, 78, 74, 73, 74, 78, 83, 77, 65, 75]"
../dataset/beeth/beethoven_les_adieux_2.mid,"[74, 72, 67, 70, 73, 70, 82, 73, 84, 64, 61, 75, 56, 76, 65, 85, 77]"
../dataset/beeth/pathetique_3.mid,"[74, 67, 77, 67, 72, 73, 68, 58, 74, 72, 74, 74, 70, 77, 63, 75, 68, 72, 67, 75, 67, 72, 72, 81, 58, 62, 73, 74, 75]"
../dataset/beeth/waldstein_3.mid,"[73, 69, 58, 58, 83, 59, 52, 88, 91, 65, 79, 65, 91, 72, 66, 73, 79, 71, 80, 72, 79, 68]"
../dataset/beeth/beethoven_opus10_1.mid,"[70, 73, 70, 63, 70, 79, 78, 54, 67, 70, 59, 65, 65, 74, 57, 67]"
../dataset/beeth/beethoven_opus22_2.mid,"[69, 51, 65, 50, 75, 65, 67, 69, 71, 80, 75, 68, 57, 59, 72, 53, 67, 71, 64]"
../dataset/beeth/waldstein_1.mid,"[75, 71, 85, 86, 67, 83, 73, 74, 83, 77, 62, 64, 53, 66, 79, 88, 68, 79, 80, 75, 72]"
../dataset/beeth/beethoven_opus90_1.mid,"[75, 66, 69, 59, 62, 71, 75, 67, 72, 68, 62, 68, 61, 78, 62, 75, 75, 54, 74, 58, 66, 76, 68, 67, 67, 75, 75, 79, 78]"
../dataset/beeth/beethoven_hammerklavier_3.mid,"[76, 77, 72, 76, 86, 67, 79, 78, 77, 36, 78, 73, 73, 63, 58, 88, 71, 76, 81, 75, 68, 66, 77]"
../dataset/beeth/beethoven_hammerklavier_1.mid,"[80, 78, 71, 73, 54, 74, 86, 73, 71, 76, 55, 71, 53, 74, 74, 72, 85, 76, 74, 60, 74, 77, 79, 82, 82, 77, 80, 81, 82, 76, 80, 78, 77, 80, 81, 77]"
../dataset/beeth/beethoven_opus22_1.mid,"[70, 76, 58, 62, 67, 75, 74, 60, 80, 84, 65, 82, 59, 75, 64, 60, 68, 77, 68, 68, 67]"
../dataset/beeth/beethoven_les_adieux_3.mid,"[77, 70, 70, 91, 68, 82, 84, 72, 74, 73, 94, 87, 72, 78, 78, 74, 74]"
../dataset/beeth/pathetique_1.mid,"[73, 65, 77, 68, 63, 77, 72, 71, 84, 70, 71, 71, 60, 59, 63, 66, 75, 63, 69]"
../dataset/beeth/mond_3.mid,"[73, 63, 55, 76, 76, 82, 58, 79, 71, 69, 76, 76, 64, 70, 65, 61, 67, 68, 49, 66, 72]"
../dataset/beeth/beethoven_hammerklavier_2.mid,"[72, 75, 78, 75, 73, 66, 75, 73, 74, 76, 67, 70, 73, 65, 72, 74, 59, 86]"
../dataset/beeth/beethoven_opus10_2.mid,"[72, 77, 72, 79, 68, 61, 62, 62, 76, 74, 85, 64, 80, 80, 68, 63, 77, 60, 81, 86, 74, 80, 68, 76, 48, 59, 63, 44, 55, 74, 54, 64, 56, 71, 79]"
../dataset/beeth/beethoven_opus10_3.mid,"[71, 48, 65, 71, 60, 63, 60, 48, 63, 53, 73, 60, 60, 62, 57, 66, 67, 71, 54, 55]"
../dataset/beeth/appass_3.mid,"[73, 69, 69, 67, 61, 64, 63, 84, 67, 48, 57, 61, 55, 61, 66, 71, 59, 73, 83, 47, 69, 71]"
../dataset/beeth/elise.mid,"[65, 73, 78, 75, 69, 63, 67]"
../dataset/albeniz/alb_esp4.mid,"[72, 69, 70, 68, 71, 72, 78, 77, 77]"
../dataset/albeniz/alb_se5.mid,"[71, 69, 69, 86, 66, 71, 63, 70, 63, 90]"
../dataset/albeniz/alb_se8.mid,"[70, 60, 70, 71, 68, 71, 72]"
../dataset/albeniz/alb_se4.mid,"[72, 68, 64, 93, 71, 69, 74, 77, 80, 63, 66, 70]"
../dataset/albeniz/alb_esp5.mid,"[77, 73, 69]"
../dataset/albeniz/alb_esp2.mid,"[69, 57, 73, 57, 71, 61, 67, 65, 76, 69]"
../dataset/albeniz/alb_se3.mid,"[74, 62, 75, 72, 84, 74, 85, 84, 69, 57, 59, 70]"
../dataset/albeniz/alb_se6.mid,"[76, 65, 76, 68, 86, 77, 70, 71, 74, 81, 65, 82, 68, 68]"
