,path,notes_list,str_notes
61,../dataset/haydn/haydn_33_2.mid,"[75, 76, 70, 67, 67, 71, 62, 75, 83, 68, 69, 84, 78]",D♯5 E5 A♯4 G4 G4 B4 D4 D♯5 B5 G♯4 A4 C6 F♯5
62,../dataset/haydn/haydn_35_2.mid,"[57, 74, 81, 74, 64, 79, 76, 79, 57, 81, 72, 82, 74, 82, 79, 78, 77, 70, 72, 70]",A3 D5 A5 D5 E4 G5 E5 G5 A3 A5 C5 A♯5 D5 A♯5 G5 F♯5 F5 A♯4 C5 A♯4
63,../dataset/haydn/haydn_33_3.mid,"[69, 76, 72, 79, 74, 74, 74, 74, 77, 72, 77, 74, 79]",A4 E5 C5 G5 D5 D5 D5 D5 F5 C5 F5 D5 G5
64,../dataset/liszt/liz_et5.mid,"[73, 86, 75, 77, 70, 92, 58, 78, 73, 95, 63, 81, 87, 70, 81, 63, 59, 60, 62, 71]",C♯5 D6 D♯5 F5 A♯4 G♯6 A♯3 F♯5 C♯5 B6 D♯4 A5 D♯6 A♯4 A5 D♯4 B3 C4 D4 B4
65,../dataset/liszt/liz_et1.mid,"[66, 60, 70, 50, 80, 83, 84, 83, 70, 103, 63, 46, 60, 69, 91, 65, 98, 67]",F♯4 C4 A♯4 D3 G♯5 B5 C6 B5 A♯4 G7 D♯4 A♯2 C4 A4 G6 F4 D7 G4
66,../dataset/liszt/liz_et4.mid,"[76, 86, 73, 86, 74, 77, 86, 74, 68, 64, 68, 70, 68, 67, 65, 68, 65, 74]",E5 D6 C♯5 D6 D5 F5 D6 D5 G♯4 E4 G♯4 A♯4 G♯4 G4 F4 G♯4 F4 D5
67,../dataset/liszt/liz_et_trans5.mid,"[78, 77, 91, 79, 61, 80, 53, 78, 99, 79, 78, 84, 76, 71, 96, 86, 90, 86, 83, 78]",F♯5 F5 G6 G5 C♯4 G♯5 F3 F♯5 D♯7 G5 F♯5 C6 E5 B4 C7 D6 F♯6 D6 B5 F♯5
68,../dataset/mendelssohn/mendel_op19_5.mid,"[61, 71, 65, 66, 78, 73, 70, 67, 70, 66, 67, 70, 58, 68, 63]",C♯4 B4 F4 F♯4 F♯5 C♯5 A♯4 G4 A♯4 F♯4 G4 A♯4 A♯3 G♯4 D♯4
69,../dataset/mendelssohn/mendel_op30_3.mid,"[67, 66, 64, 61, 64, 68, 61, 66, 66]",G4 F♯4 E4 C♯4 E4 G♯4 C♯4 F♯4 F♯4
70,../dataset/mendelssohn/mendel_op30_4.mid,"[70, 68, 64, 73, 68, 66, 69, 72, 65, 70, 72]",A♯4 G♯4 E4 C♯5 G♯4 F♯4 A4 C5 F4 A♯4 C5
71,../dataset/mendelssohn/mendel_op53_5.mid,"[70, 64, 65, 67, 64, 67, 72, 65, 59, 73, 58, 68, 65, 64]",A♯4 E4 F4 G4 E4 G4 C5 F4 B3 C♯5 A♯3 G♯4 F4 E4
72,../dataset/mendelssohn/mendel_op19_3.mid,"[78, 75, 66, 64, 59, 75, 75, 64, 67, 57, 79, 80, 64, 76, 80]",F♯5 D♯5 F♯4 E4 B3 D♯5 D♯5 E4 G4 A3 G5 G♯5 E4 E5 G♯5
73,../dataset/mendelssohn/mendel_op62_5.mid,"[69, 72, 67, 61, 52, 72, 76, 61, 67, 74]",A4 C5 G4 C♯4 E3 C5 E5 C♯4 G4 D5
74,../dataset/mendelssohn/mendel_op19_2.mid,"[76, 71, 69, 67, 57, 72, 57, 68, 73, 78, 57, 72, 76, 72]",E5 B4 A4 G4 A3 C5 A3 G♯4 C♯5 F♯5 A3 C5 E5 C5
75,../dataset/mendelssohn/mendel_op19_4.mid,"[70, 62, 59, 73, 71, 73, 74, 66, 64, 68, 65]",A♯4 D4 B3 C♯5 B4 C♯5 D5 F♯4 E4 G♯4 F4
76,../dataset/mendelssohn/mendel_op30_2.mid,"[69, 70, 65, 72, 65, 68, 64, 68, 59, 70, 65, 65]",A4 A♯4 F4 C5 F4 G♯4 E4 G♯4 B3 A♯4 F4 F4
77,../dataset/mendelssohn/mendel_op30_5.mid,"[66, 68, 70, 74, 73, 62, 77, 71, 65]",F♯4 G♯4 A♯4 D5 C♯5 D4 F5 B4 F4
78,../dataset/mendelssohn/mendel_op62_3.mid,"[68, 68, 59, 63, 65, 70, 66, 76]",G♯4 G♯4 B3 D♯4 F4 A♯4 F♯4 E5
79,../dataset/mendelssohn/mendel_op19_6.mid,"[68, 70, 70, 61, 62, 69, 62, 64, 74, 69, 74, 64, 61, 71, 74, 70]",G♯4 A♯4 A♯4 C♯4 D4 A4 D4 E4 D5 A4 D5 E4 C♯4 B4 D5 A♯4
80,../dataset/mendelssohn/mendel_op30_1.mid,"[58, 63, 67, 65, 58, 66, 67, 60, 64, 55, 55, 89]",A♯3 D♯4 G4 F4 A♯3 F♯4 G4 C4 E4 G3 G3 F6
81,../dataset/mendelssohn/mendel_op19_1.mid,"[69, 71, 67, 71, 67, 71, 71, 75]",A4 B4 G4 B4 G4 B4 B4 D♯5
82,../dataset/beeth/waldstein_2.mid,"[68, 58, 57, 60, 76, 70, 70, 70, 57, 65, 62]",G♯4 A♯3 A3 C4 E5 A♯4 A♯4 A♯4 A3 F4 D4
83,../dataset/beeth/beethoven_les_adieux_1.mid,"[74, 74, 74, 68, 61, 75, 70, 81, 63, 58, 73, 63, 55, 53, 82, 78, 58, 83, 80, 68]",D5 D5 D5 G♯4 C♯4 D♯5 A♯4 A5 D♯4 A♯3 C♯5 D♯4 G3 F3 A♯5 F♯5 A♯3 B5 G♯5 G♯4
84,../dataset/beeth/beethoven_opus22_3.mid,"[62, 71, 81, 65, 75, 72, 62, 71, 72, 73, 74, 57, 77, 71, 68]",D4 B4 A5 F4 D♯5 C5 D4 B4 C5 C♯5 D5 A3 F5 B4 G♯4
85,../dataset/beeth/appass_2.mid,"[69, 83, 49, 68, 61, 68, 55, 51, 80, 57]",A4 B5 C♯3 G♯4 C♯4 G♯4 G3 D♯3 G♯5 A3
86,../dataset/beeth/pathetique_2.mid,"[68, 67, 68, 55, 64, 77, 69, 60, 69, 56]",G♯4 G4 G♯4 G3 E4 F5 A4 C4 A4 G♯3
87,../dataset/beeth/beethoven_opus90_2.mid,"[74, 78, 73, 75, 72, 69, 72, 78, 68, 75, 85, 75, 72]",D5 F♯5 C♯5 D♯5 C5 A4 C5 F♯5 G♯4 D♯5 C♯6 D♯5 C5
88,../dataset/beeth/beethoven_les_adieux_2.mid,"[74, 72, 67, 70, 73, 70, 82, 73, 84, 64, 61, 75, 56, 76, 65, 85, 77]",D5 C5 G4 A♯4 C♯5 A♯4 A♯5 C♯5 C6 E4 C♯4 D♯5 G♯3 E5 F4 C♯6 F5
